"ID","MonthlyIncome"
871,5798.36286442224
872,2241.10296429801
873,14335.2289594967
874,2241.10296429801
875,2081.12051060272
876,7033.71134760665
877,5866.69888117974
878,2036.09491402551
879,2167.46676599111
880,14973.5635304945
881,11187.9851599175
882,2318.44410037095
883,6026.68133487503
884,6017.67621555958
885,6418.68719678914
886,5890.00930136003
887,6131.0378288943
888,6213.67914651664
889,6003.37091469474
890,2190.77718617139
891,5875.70400049518
892,9889.60084152499
893,9652.27725175676
894,5908.01953999091
895,11018.9975869068
896,9857.28530202926
897,10204.2655673662
898,14011.5591143401
899,6062.7018121368
900,2309.43898105551
901,2309.43898105551
902,6487.02321354665
903,6550.05904875474
904,2564.77280945463
905,14887.2172751061
906,5890.00930136003
907,10590.9712477309
908,6044.69157350591
909,2036.09491402551
910,2086.42069215212
911,18180.1382275158
912,2377.77499781301
913,2377.77499781301
914,9934.6264381022
915,6222.68426583209
916,5958.34531811753
917,2104.43093078301
918,5958.34531811753
919,2086.42069215212
920,2838.11687648463
921,2172.76694754051
922,2027.08979471006
923,6350.35118003164
924,6240.69450446297
925,15214.5920580288
926,2286.12856087522
927,5944.04001725268
928,10166.649846321
929,2086.42069215212
930,2208.78742480228
931,6345.05099848224
932,9720.61326851426
933,9720.61326851426
934,2223.09272566712
935,2086.42069215212
936,2291.42874242462
937,10436.288975585
938,10504.6249923425
939,6550.05904875474
940,2086.42069215212
941,3043.12492675713
942,9848.28018271382
943,10831.9997752652
944,5890.00930136003
945,2018.08467539462
946,5967.35043743297
947,2086.42069215212
948,2104.43093078301
949,2564.77280945463
950,6104.02247094797
951,2523.45215064345
952,5985.36067606385
953,6222.68426583209
954,2309.43898105551
955,6172.35848770547
956,9889.60084152499
957,11862.3402081771
958,2286.12856087522
959,10768.9639400571
960,19145.8475814363
961,2131.44628872933
962,5935.03489793724
963,6505.03345217753
964,6199.3738456518
965,2095.42581146756
966,18394.1513971037
967,2122.44116941389
968,10135.9295506087
969,15237.9024782091
970,2241.10296429801
971,5798.36286442224
972,6122.03270957886
973,2241.10296429801
974,2086.42069215212
975,5958.34531811753
976,2232.09784498257
977,6915.04955272253
978,2250.10808361345
979,9724.3182062803
980,18458.7824760952
981,2309.43898105551
982,10358.947839512
983,2309.43898105551
984,2359.76475918212
985,6282.01516327414
986,2386.78011712845
987,2086.42069215212
988,6035.68645419047
989,10412.9785554047
990,2104.43093078301
991,6386.37165729342
992,2122.44116941389
993,6140.04294820974
994,6077.00711300164
995,5967.35043743297
996,6235.39432291357
997,2104.43093078301
998,14736.2399407263
999,9797.9544045872
1000,2027.08979471006
1001,6710.04150245003
1002,6077.00711300164
1003,6062.7018121368
1004,6864.72377459592
1005,2345.45945831728
1006,6291.02028258959
1007,2036.09491402551
1008,6300.02540190503
1009,18248.4742442733
1010,6327.04075985136
1011,10614.2816679112
1012,6555.35923030415
1013,6089.71717008313
1014,6071.70693145224
1015,6291.02028258959
1016,2446.11101457051
1017,2226.79766343316
1018,9779.94416595632
1019,10035.2779943554
1020,2018.08467539462
1021,5935.03489793724
1022,6213.67914651664
